#{"t_start": 1543374279.0800521, "env_id": "CartPole-v1"}
r,l,t
8.0,8,0.871099
9.0,9,0.876945
11.0,11,0.8839
9.0,9,0.889603
10.0,10,0.896068
29.0,29,0.914224
11.0,11,0.921215
9.0,9,0.926826
20.0,20,0.939537
44.0,44,0.967222
10.0,10,0.973531
12.0,12,0.981225
11.0,11,0.988194
14.0,14,0.997014
15.0,15,1.006491
10.0,10,1.012805
12.0,12,1.020389
16.0,16,1.030473
36.0,36,1.053175
13.0,13,1.061406
38.0,38,1.085557
9.0,9,1.091303
11.0,11,1.098296
47.0,47,1.127678
10.0,10,1.134101
11.0,11,1.140971
40.0,40,1.166107
11.0,11,1.172993
10.0,10,1.179324
11.0,11,1.186215
25.0,25,1.201868
10.0,10,1.208251
12.0,12,1.215841
11.0,11,1.222892
10.0,10,1.2292
19.0,19,1.24116
46.0,46,1.269956
11.0,11,1.276882
11.0,11,1.283872
12.0,12,1.291555
9.0,9,1.297321
11.0,11,1.304202
10.0,10,1.310604
9.0,9,1.316369
9.0,9,1.322011
11.0,11,1.328936
13.0,13,1.33709
9.0,9,1.342793
13.0,13,1.350899
13.0,13,1.359155
52.0,52,1.391578
42.0,42,1.417923
9.0,9,1.423575
11.0,11,1.43047
11.0,11,1.437432
11.0,11,1.444426
11.0,11,1.451397
20.0,20,1.46397
8.0,8,1.469095
9.0,9,1.474968
10.0,10,1.481179
10.0,10,1.487494
10.0,10,1.493813
18.0,18,1.615883
10.0,10,1.631718
9.0,9,1.646192
8.0,8,1.659065
26.0,26,1.700465
12.0,12,1.719711
10.0,10,1.735712
10.0,10,1.751575
10.0,10,1.767464
11.0,11,1.785249
11.0,11,1.802827
9.0,9,1.817106
10.0,10,1.833005
9.0,9,1.847451
10.0,10,1.86341
8.0,8,1.876307
25.0,25,1.915931
9.0,9,1.930429
10.0,10,1.946564
12.0,12,1.965743
10.0,10,1.981954
12.0,12,2.001231
16.0,16,2.026793
13.0,13,2.047424
18.0,18,2.07594
17.0,17,2.103258
72.0,72,2.217674
11.0,11,2.235268
10.0,10,2.251194
11.0,11,2.268706
10.0,10,2.284688
15.0,15,2.308752
10.0,10,2.324613
12.0,12,2.343679
33.0,33,2.396212
11.0,11,2.413647
26.0,26,2.455033
12.0,12,2.474095
12.0,12,2.493127
13.0,13,2.514045
34.0,34,2.567442
11.0,11,2.584911
12.0,12,2.603594
9.0,9,2.617759
10.0,10,2.633423
11.0,11,2.650843
9.0,9,2.665119
9.0,9,2.679235
26.0,26,2.719909
11.0,11,2.737406
10.0,10,2.753028
12.0,12,2.772014
12.0,12,2.791181
9.0,9,2.805388
11.0,11,2.822646
10.0,10,2.838414
12.0,12,2.857336
10.0,10,2.87319
87.0,87,3.010292
9.0,9,3.024492
37.0,37,3.086498
12.0,12,3.105464
9.0,9,3.120453
10.0,10,3.137487
13.0,13,3.158386
18.0,18,3.187121
8.0,8,3.200114
9.0,9,3.214562
10.0,10,3.230553
12.0,12,3.249633
16.0,16,3.275332
12.0,12,3.294717
10.0,10,3.310654
10.0,10,3.326621
48.0,48,3.403368
9.0,9,3.4177
10.0,10,3.433761
11.0,11,3.451365
9.0,9,3.465869
11.0,11,3.483602
16.0,16,3.509241
39.0,39,3.571062
9.0,9,3.585634
27.0,27,3.628705
15.0,15,3.652901
11.0,11,3.670675
8.0,8,3.68351
9.0,9,3.697901
11.0,11,3.715494
10.0,10,3.731545
10.0,10,3.747407
13.0,13,3.768197
10.0,10,3.784113
31.0,31,3.833701
9.0,9,3.848017
10.0,10,3.864049
11.0,11,3.881675
12.0,12,3.900715
8.0,8,3.91353
11.0,11,3.931098
9.0,9,3.945487
10.0,10,3.961616
21.0,21,3.995323
12.0,12,4.014414
11.0,11,4.032012
17.0,17,4.059076
9.0,9,4.07338
9.0,9,4.087725
9.0,9,4.101977
16.0,16,4.127289
13.0,13,4.148092
26.0,26,4.189513
41.0,41,4.254494
42.0,42,4.321528
18.0,18,4.350001
15.0,15,4.373856
133.0,133,4.584412
9.0,9,4.598719
13.0,13,4.619153
9.0,9,4.633555
13.0,13,4.654496
51.0,51,4.735836
239.0,239,5.111821
11.0,11,5.129301
15.0,15,5.153095
57.0,57,5.243493
9.0,9,5.257784
72.0,72,5.37178
12.0,12,5.390924
12.0,12,5.410043
52.0,52,5.492381
20.0,20,5.524119
30.0,30,5.571579
10.0,10,5.587407
110.0,110,5.762896
78.0,78,5.88593
14.0,14,5.908149
80.0,80,6.034941
9.0,9,6.049281
43.0,43,6.117306
30.0,30,6.165392
10.0,10,6.18135
61.0,61,6.27825
13.0,13,6.298806
12.0,12,6.31791
10.0,10,6.333823
82.0,82,6.464225
18.0,18,6.49309
12.0,12,6.512141
12.0,12,6.531175
10.0,10,6.547116
27.0,27,6.590511
11.0,11,6.608009
89.0,89,6.749564
16.0,16,6.775185
38.0,38,6.835407
11.0,11,6.852958
13.0,13,6.873803
37.0,37,6.93329
23.0,23,6.970126
22.0,22,7.005106
98.0,98,7.160763
10.0,10,7.176896
20.0,20,7.208715
35.0,35,7.264118
83.0,83,7.395928
32.0,32,7.446919
21.0,21,7.480163
50.0,50,7.559674
55.0,55,7.646903
71.0,71,7.758622
205.0,205,8.081257
88.0,88,8.22305
30.0,30,8.270679
73.0,73,8.386011
69.0,69,8.494891
86.0,86,8.630408
95.0,95,8.780341
14.0,14,8.80255
52.0,52,8.885218
75.0,75,9.004461
58.0,58,9.095939
93.0,93,9.243321
78.0,78,9.366429
12.0,12,9.385364
101.0,101,9.546199
172.0,172,9.818665
112.0,112,9.9952
148.0,148,10.229524
124.0,124,10.42485
75.0,75,10.543283
75.0,75,10.661576
119.0,119,10.851951
57.0,57,10.941952
105.0,105,11.107159
55.0,55,11.194041
59.0,59,11.2874
87.0,87,11.42502
76.0,76,11.54468
156.0,156,11.789883
265.0,265,12.2095
127.0,127,12.409213
118.0,118,12.593608
158.0,158,12.842139
85.0,85,12.975379
83.0,83,13.108155
112.0,112,13.28725
176.0,176,13.565306
129.0,129,13.768963
202.0,202,14.088631
147.0,147,14.320734
104.0,104,14.48593
121.0,121,14.680868
208.0,208,15.008809
125.0,125,15.206436
127.0,127,15.40694
112.0,112,15.584915
111.0,111,15.76095
152.0,152,16.004624
123.0,123,16.198822
138.0,138,16.416469
116.0,116,16.598512
140.0,140,16.818947
210.0,210,17.153187
149.0,149,17.388726
201.0,201,17.706997
139.0,139,17.92801
116.0,116,18.111161
162.0,162,18.368845
101.0,101,18.528042
135.0,135,18.740542
126.0,126,18.939888
107.0,107,19.108459
65.0,65,19.211194
66.0,66,19.316193
134.0,134,19.527163
92.0,92,19.674105
117.0,117,19.85694
127.0,127,20.055951
74.0,74,20.171928
134.0,134,20.382897
82.0,82,20.511841
174.0,174,20.786106
93.0,93,20.935163
105.0,105,21.10069
85.0,85,21.23446
104.0,104,21.3975
99.0,99,21.552902
137.0,137,21.768457
67.0,67,21.874055
140.0,140,22.093967
90.0,90,22.239524
102.0,102,22.400422
98.0,98,22.555387
68.0,68,22.6628
114.0,114,22.843701
95.0,95,22.995102
101.0,101,23.155789
110.0,110,23.330926
101.0,101,23.494234
111.0,111,23.669048
166.0,166,23.93172
99.0,99,24.08784
103.0,103,24.25033
83.0,83,24.38142
91.0,91,24.524822
101.0,101,24.686304
79.0,79,24.813909
90.0,90,24.957186
93.0,93,25.105163
25.0,25,25.145013
24.0,24,25.183222
81.0,81,25.312016
88.0,88,25.452249
99.0,99,25.609144
16.0,16,25.634522
94.0,94,25.783593
16.0,16,25.808952
109.0,109,25.984902
85.0,85,26.121209
20.0,20,26.153088
119.0,119,26.341342
135.0,135,26.555835
102.0,102,26.716524
107.0,107,26.885819
82.0,82,27.01579
102.0,102,27.178268
90.0,90,27.324087
105.0,105,27.491712
99.0,99,27.649318
108.0,108,27.819865
96.0,96,27.971025
96.0,96,28.122315
101.0,101,28.282011
101.0,101,28.441898
92.0,92,28.591025
102.0,102,28.752227
109.0,109,28.925134
97.0,97,29.078691
95.0,95,29.22942
100.0,100,29.388034
80.0,80,29.515105
116.0,116,29.703387
93.0,93,29.852593
97.0,97,30.005877
93.0,93,30.158157
19.0,19,30.18921
89.0,89,30.332947
17.0,17,30.36044
88.0,88,30.504533
27.0,27,30.548527
91.0,91,30.697071
97.0,97,30.855038
91.0,91,31.002814
96.0,96,31.162603
109.0,109,31.340236
90.0,90,31.487025
96.0,96,31.643475
91.0,91,31.790128
92.0,92,31.937657
97.0,97,32.093122
20.0,20,32.125818
93.0,93,32.277715
100.0,100,32.441304
98.0,98,32.5988
90.0,90,32.745223
94.0,94,32.895309
95.0,95,33.046678
80.0,80,33.173574
98.0,98,33.329663
102.0,102,33.491308
103.0,103,33.655361
93.0,93,33.810292
92.0,92,33.958169
93.0,93,34.106948
96.0,96,34.260551
92.0,92,34.408508
