#{"t_start": 1543376755.3522835, "env_id": "CartPole-v1"}
r,l,t
11.0,11,0.683031
8.0,8,0.688061
10.0,10,0.694398
10.0,10,0.700617
10.0,10,0.706806
10.0,10,0.71309
9.0,9,0.718705
12.0,12,0.726351
10.0,10,0.732623
10.0,10,0.738931
10.0,10,0.745156
10.0,10,0.751374
10.0,10,0.75755
8.0,8,0.76258
9.0,9,0.768139
11.0,11,0.775046
11.0,11,0.781869
9.0,9,0.787401
8.0,8,0.792465
9.0,9,0.798047
11.0,11,0.80474
9.0,9,0.810475
12.0,12,0.817842
11.0,11,0.824676
9.0,9,0.830289
9.0,9,0.835825
10.0,10,0.842113
8.0,8,0.847093
21.0,21,0.859976
10.0,10,0.866245
8.0,8,0.871234
11.0,11,0.878143
10.0,10,0.885562
9.0,9,0.89131
90.0,90,0.948365
12.0,12,0.956565
8.0,8,0.961907
9.0,9,0.96792
34.0,34,0.989864
10.0,10,0.996423
9.0,9,1.00221
8.0,8,1.007366
13.0,13,1.015637
13.0,13,1.02406
37.0,37,1.048403
72.0,72,1.093796
10.0,10,1.10036
9.0,9,1.106053
9.0,9,1.11157
8.0,8,1.116636
9.0,9,1.122379
10.0,10,1.129124
9.0,9,1.135205
19.0,19,1.147303
46.0,46,1.176132
12.0,12,1.183616
153.0,153,1.281316
10.0,10,1.287751
9.0,9,1.293597
11.0,11,1.300778
11.0,11,1.307878
12.0,12,1.419869
13.0,13,1.440971
9.0,9,1.455432
10.0,10,1.471556
13.0,13,1.49227
10.0,10,1.508066
40.0,40,1.571635
15.0,15,1.595404
12.0,12,1.614525
8.0,8,1.627345
12.0,12,1.646714
11.0,11,1.664374
8.0,8,1.677131
11.0,11,1.694736
12.0,12,1.714037
11.0,11,1.731368
29.0,29,1.777285
13.0,13,1.798001
8.0,8,1.810992
9.0,9,1.825283
38.0,38,1.886076
11.0,11,1.903683
9.0,9,1.918041
8.0,8,1.930884
9.0,9,1.945597
12.0,12,1.96489
80.0,80,2.091699
11.0,11,2.109113
11.0,11,2.126635
8.0,8,2.139429
10.0,10,2.155241
