#{"t_start": 1543376794.9054, "env_id": "CartPole-v1"}
r,l,t
10.0,10,0.706222
9.0,9,0.711895
17.0,17,0.722474
27.0,27,0.738972
35.0,35,0.760281
12.0,12,0.767751
9.0,9,0.773382
90.0,90,0.828951
11.0,11,0.836398
9.0,9,0.841997
10.0,10,0.848327
23.0,23,0.862615
9.0,9,0.868244
106.0,106,0.933607
15.0,15,0.942899
10.0,10,0.949173
12.0,12,0.956588
11.0,11,0.963478
9.0,9,0.969185
8.0,8,0.974217
30.0,30,0.992719
27.0,27,1.009366
13.0,13,1.017385
9.0,9,1.022976
9.0,9,1.028678
16.0,16,1.038526
11.0,11,1.045331
10.0,10,1.051509
12.0,12,1.058976
50.0,50,1.089785
10.0,10,1.096103
9.0,9,1.101736
11.0,11,1.108633
10.0,10,1.114861
9.0,9,1.120567
9.0,9,1.126548
48.0,48,1.156772
12.0,12,1.16431
9.0,9,1.170168
13.0,13,1.178518
25.0,25,1.19422
9.0,9,1.199854
10.0,10,1.206221
12.0,12,1.213881
11.0,11,1.220802
10.0,10,1.227108
10.0,10,1.2335
12.0,12,1.241029
22.0,22,1.254819
13.0,13,1.263086
9.0,9,1.268799
10.0,10,1.275066
15.0,15,1.284646
10.0,10,1.291004
46.0,46,1.319879
12.0,12,1.429065
12.0,12,1.44815
10.0,10,1.463904
12.0,12,1.482569
9.0,9,1.496623
10.0,10,1.512343
10.0,10,1.527999
9.0,9,1.541975
10.0,10,1.557762
8.0,8,1.570495
14.0,14,1.592353
13.0,13,1.612622
11.0,11,1.629653
9.0,9,1.644431
16.0,16,1.669495
12.0,12,1.688204
21.0,21,1.72103
23.0,23,1.756749
10.0,10,1.772603
12.0,12,1.791463
10.0,10,1.807432
11.0,11,1.824936
11.0,11,1.842208
39.0,39,1.903466
10.0,10,1.919201
15.0,15,1.943131
20.0,20,1.974303
9.0,9,1.988313
11.0,11,2.005767
11.0,11,2.023031
10.0,10,2.038708
34.0,34,2.092234
9.0,9,2.106339
16.0,16,2.131229
12.0,12,2.149925
11.0,11,2.167294
9.0,9,2.181449
9.0,9,2.195636
143.0,143,2.419374
10.0,10,2.435071
10.0,10,2.450793
9.0,9,2.464955
20.0,20,2.496232
18.0,18,2.524654
9.0,9,2.538913
13.0,13,2.559341
10.0,10,2.575139
37.0,37,2.633363
12.0,12,2.652286
11.0,11,2.669665
10.0,10,2.685261
35.0,35,2.740112
10.0,10,2.755811
10.0,10,2.771339
27.0,27,2.813244
9.0,9,2.827265
8.0,8,2.839692
13.0,13,2.859946
46.0,46,2.931551
11.0,11,2.94849
9.0,9,2.962443
11.0,11,2.979634
9.0,9,2.993792
10.0,10,3.009359
9.0,9,3.023358
10.0,10,3.038945
9.0,9,3.052996
12.0,12,3.071624
13.0,13,3.091743
12.0,12,3.110535
12.0,12,3.129142
11.0,11,3.146312
44.0,44,3.214862
12.0,12,3.233803
10.0,10,3.24958
