#{"t_start": 1543376558.768881, "env_id": "CartPole-v1"}
r,l,t
8.0,8,0.990802
10.0,10,0.997133
60.0,60,1.035686
26.0,26,1.052617
38.0,38,1.076361
11.0,11,1.083731
18.0,18,1.094927
10.0,10,1.101353
13.0,13,1.109535
11.0,11,1.116398
22.0,22,1.130656
10.0,10,1.137354
10.0,10,1.144315
8.0,8,1.149814
24.0,24,1.165158
9.0,9,1.170986
9.0,9,1.176763
54.0,54,1.210297
59.0,59,1.247056
10.0,10,1.253382
10.0,10,1.259615
22.0,22,1.273277
11.0,11,1.280079
11.0,11,1.286996
132.0,132,1.368522
12.0,12,1.376032
11.0,11,1.383035
9.0,9,1.388611
12.0,12,1.396197
8.0,8,1.40132
43.0,43,1.428092
9.0,9,1.433762
11.0,11,1.44054
11.0,11,1.447577
13.0,13,1.455717
9.0,9,1.461368
30.0,30,1.480022
12.0,12,1.487571
17.0,17,1.498278
13.0,13,1.50636
13.0,13,1.514524
19.0,19,1.526283
9.0,9,1.531995
15.0,15,1.541427
12.0,12,1.5489
11.0,11,1.555709
10.0,10,1.561951
10.0,10,1.56829
10.0,10,1.574565
14.0,14,1.58338
13.0,13,1.591589
9.0,9,1.597278
10.0,10,1.603552
10.0,10,1.609747
12.0,12,1.718841
8.0,8,1.731567
11.0,11,1.749032
27.0,27,1.791731
12.0,12,1.811026
14.0,14,1.834973
9.0,9,1.849382
37.0,37,1.909575
17.0,17,1.936568
13.0,13,1.95769
12.0,12,1.976639
9.0,9,1.991135
19.0,19,2.021426
12.0,12,2.040438
32.0,32,2.091282
9.0,9,2.10575
11.0,11,2.123181
11.0,11,2.140729
9.0,9,2.155292
11.0,11,2.173173
9.0,9,2.187471
10.0,10,2.203095
8.0,8,2.215851
47.0,47,2.289936
11.0,11,2.307361
18.0,18,2.335491
15.0,15,2.359084
12.0,12,2.378055
9.0,9,2.392306
12.0,12,2.411306
10.0,10,2.427082
41.0,41,2.491671
8.0,8,2.504541
11.0,11,2.522119
10.0,10,2.537958
39.0,39,2.599502
9.0,9,2.613775
10.0,10,2.629602
9.0,9,2.643912
11.0,11,2.661312
9.0,9,2.675534
30.0,30,2.722669
11.0,11,2.739969
10.0,10,2.755591
10.0,10,2.771326
12.0,12,2.790128
10.0,10,2.805809
12.0,12,2.824714
10.0,10,2.84052
9.0,9,2.854723
11.0,11,2.872192
10.0,10,2.888058
11.0,11,2.905486
12.0,12,2.924471
9.0,9,2.938582
12.0,12,2.957549
9.0,9,2.971708
10.0,10,2.987466
9.0,9,3.001773
9.0,9,3.015845
10.0,10,3.031659
11.0,11,3.048801
9.0,9,3.063107
12.0,12,3.081765
9.0,9,3.095988
10.0,10,3.112187
9.0,9,3.12617
17.0,17,3.152584
9.0,9,3.166937
9.0,9,3.181073
12.0,12,3.19975
32.0,32,3.249743
11.0,11,3.266946
15.0,15,3.290317
9.0,9,3.304491
28.0,28,3.34796
45.0,45,3.417938
11.0,11,3.435189
14.0,14,3.45712
9.0,9,3.471221
8.0,8,3.483758
9.0,9,3.497864
16.0,16,3.522746
11.0,11,3.539978
9.0,9,3.5541
13.0,13,3.574266
11.0,11,3.591474
11.0,11,3.60865
27.0,27,3.65078
100.0,100,3.807168
11.0,11,3.824767
12.0,12,3.843506
11.0,11,3.860768
8.0,8,3.87336
19.0,19,3.903154
11.0,11,3.920403
11.0,11,3.937569
13.0,13,3.957917
11.0,11,3.975057
10.0,10,3.990818
11.0,11,4.008127
10.0,10,4.023746
49.0,49,4.100239
11.0,11,4.117443
9.0,9,4.131504
11.0,11,4.148649
11.0,11,4.165929
8.0,8,4.178334
156.0,156,4.422071
10.0,10,4.437783
12.0,12,4.456579
39.0,39,4.517486
18.0,18,4.545811
14.0,14,4.567649
9.0,9,4.58164
12.0,12,4.600472
11.0,11,4.617708
30.0,30,4.664676
90.0,90,4.804422
16.0,16,4.829417
12.0,12,4.848299
11.0,11,4.865616
10.0,10,4.881275
17.0,17,4.907684
13.0,13,4.927904
28.0,28,4.971575
123.0,123,5.165778
43.0,43,5.233223
9.0,9,5.247358
67.0,67,5.352508
9.0,9,5.366714
11.0,11,5.384014
9.0,9,5.398215
24.0,24,5.435959
93.0,93,5.581666
22.0,22,5.616379
92.0,92,5.760604
22.0,22,5.79489
28.0,28,5.838726
73.0,73,5.953875
9.0,9,5.968222
10.0,10,5.983969
98.0,98,6.137177
53.0,53,6.221925
11.0,11,6.239533
12.0,12,6.258848
47.0,47,6.334186
32.0,32,6.385675
13.0,13,6.406412
