#{"t_start": 1543372978.9765038, "env_id": "CartPole-v1"}
r,l,t
9.0,9,1.098847
9.0,9,1.111387
10.0,10,1.133477
9.0,9,1.155113
9.0,9,1.17254
10.0,10,1.201389
9.0,9,1.21762
9.0,9,1.234612
9.0,9,1.257612
8.0,8,1.269342
10.0,10,1.286294
12.0,12,1.315992
10.0,10,1.331873
10.0,10,1.345977
9.0,9,1.363733
11.0,11,1.384851
11.0,11,1.406706
10.0,10,1.421504
15.0,15,1.44667
8.0,8,1.460232
9.0,9,1.484643
12.0,12,1.503161
10.0,10,1.517231
10.0,10,1.532662
17.0,17,1.563506
11.0,11,1.584158
10.0,10,1.602961
8.0,8,1.616042
36.0,36,1.673857
9.0,9,1.684973
76.0,76,1.801341
21.0,21,1.832662
47.0,47,1.937886
9.0,9,1.949786
44.0,44,2.014722
10.0,10,2.031466
13.0,13,2.048232
10.0,10,2.061011
39.0,39,2.124956
9.0,9,2.138662
10.0,10,2.153144
19.0,19,2.181534
9.0,9,2.195855
24.0,24,2.241012
9.0,9,2.253643
10.0,10,2.269118
10.0,10,2.284011
53.0,53,2.375539
12.0,12,2.394473
11.0,11,2.41786
9.0,9,2.43382
30.0,30,2.493567
12.0,12,2.509867
88.0,88,2.634418
13.0,13,2.661597
12.0,12,2.684412
62.0,62,2.769812
9.0,9,3.03669
9.0,9,3.077441
12.0,12,3.127536
13.0,13,3.181068
11.0,11,3.22848
10.0,10,3.268283
10.0,10,3.318719
13.0,13,3.383268
9.0,9,3.420929
19.0,19,3.508908
12.0,12,3.563416
17.0,17,3.639241
51.0,51,3.852449
12.0,12,3.898998
11.0,11,3.953989
18.0,18,4.025545
9.0,9,4.064464
11.0,11,4.106151
19.0,19,4.183246
9.0,9,4.224201
10.0,10,4.263081
9.0,9,4.294574
11.0,11,4.339848
9.0,9,4.377795
9.0,9,4.415576
58.0,58,4.639905
12.0,12,4.690067
10.0,10,4.747846
22.0,22,4.836896
9.0,9,4.869002
10.0,10,4.914257
10.0,10,4.953435
10.0,10,4.989808
11.0,11,5.042137
11.0,11,5.104702
11.0,11,5.161553
10.0,10,5.20493
12.0,12,5.263716
65.0,65,5.56088
11.0,11,5.604884
10.0,10,5.646396
12.0,12,5.707166
9.0,9,5.755269
19.0,19,5.841947
9.0,9,5.878494
10.0,10,5.92345
10.0,10,5.977913
57.0,57,6.225884
62.0,62,6.475158
49.0,49,6.683105
11.0,11,6.727197
18.0,18,6.799933
9.0,9,6.838388
10.0,10,6.884498
8.0,8,6.917188
9.0,9,6.959279
11.0,11,7.009464
86.0,86,7.398923
12.0,12,7.458953
11.0,11,7.513112
11.0,11,7.558496
264.0,264,8.704806
9.0,9,8.741144
10.0,10,8.779011
24.0,24,8.873316
11.0,11,8.931053
10.0,10,8.967861
28.0,28,9.068528
9.0,9,9.106528
10.0,10,9.153852
9.0,9,9.206601
12.0,12,9.25287
11.0,11,9.293868
10.0,10,9.328545
11.0,11,9.369844
13.0,13,9.421477
25.0,25,9.51038
10.0,10,9.549308
50.0,50,9.761716
12.0,12,9.806854
33.0,33,9.960941
19.0,19,10.043329
14.0,14,10.120047
23.0,23,10.220519
10.0,10,10.258026
9.0,9,10.30179
8.0,8,10.336662
10.0,10,10.37025
55.0,55,10.583538
10.0,10,10.618147
10.0,10,10.658133
8.0,8,10.686299
8.0,8,10.718155
9.0,9,10.756279
8.0,8,10.80523
22.0,22,10.918259
9.0,9,10.969677
8.0,8,11.005701
9.0,9,11.046263
22.0,22,11.134347
125.0,125,11.669136
11.0,11,11.720238
17.0,17,11.780974
10.0,10,11.818674
13.0,13,11.87358
9.0,9,11.908499
13.0,13,11.95343
12.0,12,11.999087
8.0,8,12.028655
12.0,12,12.077524
10.0,10,12.128034
9.0,9,12.166654
10.0,10,12.21411
29.0,29,12.344079
32.0,32,12.502866
15.0,15,12.565359
10.0,10,12.612346
18.0,18,12.684801
8.0,8,12.724771
9.0,9,12.762304
10.0,10,12.803312
9.0,9,12.839714
8.0,8,12.872527
10.0,10,12.914413
68.0,68,13.21283
9.0,9,13.252321
10.0,10,13.294761
10.0,10,13.340209
10.0,10,13.383053
10.0,10,13.4277
10.0,10,13.473798
10.0,10,13.518236
13.0,13,13.575855
11.0,11,13.624883
11.0,11,13.669466
19.0,19,13.738662
11.0,11,13.783252
28.0,28,13.896742
9.0,9,13.926986
9.0,9,13.961716
9.0,9,14.003048
45.0,45,14.193751
17.0,17,14.258398
9.0,9,14.303015
10.0,10,14.345892
11.0,11,14.391226
12.0,12,14.448754
8.0,8,14.480548
10.0,10,14.524726
10.0,10,14.563715
10.0,10,14.595478
60.0,60,14.874914
10.0,10,14.912987
9.0,9,14.952964
12.0,12,14.996315
26.0,26,15.113686
9.0,9,15.144504
9.0,9,15.176193
8.0,8,15.213757
11.0,11,15.266757
64.0,64,15.559943
112.0,112,16.078271
10.0,10,16.115277
9.0,9,16.156866
9.0,9,16.188797
13.0,13,16.242429
13.0,13,16.292709
9.0,9,16.327855
12.0,12,16.376086
10.0,10,16.413142
8.0,8,16.442979
10.0,10,16.498468
9.0,9,16.538468
15.0,15,16.595795
14.0,14,16.643306
21.0,21,16.724334
9.0,9,16.758827
8.0,8,16.784837
13.0,13,16.838911
12.0,12,16.888164
9.0,9,16.932549
10.0,10,16.985735
39.0,39,17.160238
11.0,11,17.210879
11.0,11,17.263921
8.0,8,17.292565
22.0,22,17.372658
12.0,12,17.421493
17.0,17,17.484023
13.0,13,17.552547
8.0,8,17.591619
10.0,10,17.6333
10.0,10,17.674801
10.0,10,17.720146
21.0,21,17.800172
12.0,12,17.847714
29.0,29,17.971415
11.0,11,18.02991
52.0,52,18.392413
9.0,9,18.441858
11.0,11,18.491203
14.0,14,18.55929
23.0,23,18.671825
12.0,12,18.734799
10.0,10,18.780836
10.0,10,18.815888
10.0,10,18.852804
10.0,10,18.888223
14.0,14,18.9511
13.0,13,19.008083
9.0,9,19.046402
9.0,9,19.080964
9.0,9,19.114066
11.0,11,19.152133
13.0,13,19.218761
47.0,47,19.426818
31.0,31,19.569837
51.0,51,19.839464
12.0,12,19.885461
11.0,11,19.929565
36.0,36,20.106055
9.0,9,20.158663
13.0,13,20.203244
8.0,8,20.231814
10.0,10,20.267422
9.0,9,20.309669
11.0,11,20.358325
10.0,10,20.406562
9.0,9,20.453831
12.0,12,20.503254
10.0,10,20.547498
15.0,15,20.613394
20.0,20,20.715789
10.0,10,20.763835
12.0,12,20.814042
9.0,9,20.857438
11.0,11,20.897282
10.0,10,20.935688
11.0,11,20.97896
10.0,10,21.026571
11.0,11,21.06653
13.0,13,21.122124
24.0,24,21.223032
12.0,12,21.274292
47.0,47,21.465133
11.0,11,21.523199
10.0,10,21.574087
14.0,14,21.63382
10.0,10,21.676355
10.0,10,21.733863
12.0,12,21.786123
8.0,8,21.822324
15.0,15,21.881316
12.0,12,21.926571
11.0,11,21.978273
8.0,8,22.012236
15.0,15,22.076474
16.0,16,22.237241
8.0,8,22.269133
32.0,32,22.405998
11.0,11,22.448253
11.0,11,22.49004
12.0,12,22.542829
12.0,12,22.600587
11.0,11,22.641023
10.0,10,22.685239
12.0,12,22.741311
11.0,11,22.797197
13.0,13,22.845159
18.0,18,22.920877
13.0,13,22.973019
10.0,10,23.016403
11.0,11,23.060188
11.0,11,23.109975
10.0,10,23.156398
11.0,11,23.318513
11.0,11,23.368083
13.0,13,23.418571
11.0,11,23.483627
10.0,10,23.52774
32.0,32,23.6816
17.0,17,23.745612
9.0,9,23.787833
9.0,9,23.818918
9.0,9,23.864055
9.0,9,23.90593
12.0,12,23.977148
500.0,500,26.252381
10.0,10,26.302791
10.0,10,26.34856
10.0,10,26.417633
34.0,34,26.56077
9.0,9,26.598286
57.0,57,26.856675
9.0,9,26.890878
10.0,10,26.973042
10.0,10,27.017798
13.0,13,27.087403
69.0,69,27.415233
12.0,12,27.466192
12.0,12,27.513219
77.0,77,27.819094
46.0,46,28.022179
11.0,11,28.074475
9.0,9,28.119411
10.0,10,28.164293
9.0,9,28.204611
342.0,342,29.654589
12.0,12,29.69817
11.0,11,29.745129
9.0,9,29.784618
500.0,500,32.061991
11.0,11,32.117553
22.0,22,32.214377
21.0,21,32.300178
500.0,500,34.540754
14.0,14,34.601193
13.0,13,34.660055
313.0,313,36.091393
11.0,11,36.139003
12.0,12,36.196265
13.0,13,36.264216
14.0,14,36.336853
11.0,11,36.37343
9.0,9,36.425482
105.0,105,36.905674
13.0,13,36.959644
263.0,263,38.160329
10.0,10,38.196105
155.0,155,38.847826
105.0,105,39.32502
129.0,129,39.905377
286.0,286,41.136753
81.0,81,41.483991
100.0,100,41.91271
172.0,172,42.769343
109.0,109,43.303139
133.0,133,43.90105
132.0,132,44.467249
75.0,75,44.763667
195.0,195,45.646355
141.0,141,46.27045
241.0,241,47.255594
168.0,168,47.986386
188.0,188,48.709278
168.0,168,49.463357
223.0,223,50.585544
171.0,171,51.306198
203.0,203,52.155449
334.0,334,53.663213
193.0,193,54.931479
322.0,322,56.298001
134.0,134,56.831245
222.0,222,57.809185
171.0,171,58.512629
152.0,152,59.176682
