#{"t_start": 1543376321.7552028, "env_id": "CartPole-v1"}
r,l,t
14.0,14,0.713592
57.0,57,0.750336
137.0,137,0.837189
58.0,58,0.873236
11.0,11,0.880064
12.0,12,0.888103
12.0,12,0.895708
11.0,11,0.90283
46.0,46,0.931077
11.0,11,0.938017
9.0,9,0.944129
10.0,10,0.95039
11.0,11,0.957293
13.0,13,0.965467
9.0,9,0.971229
9.0,9,0.976949
14.0,14,0.985839
9.0,9,0.992116
8.0,8,0.99736
10.0,10,1.003741
10.0,10,1.010189
10.0,10,1.016381
12.0,12,1.024441
10.0,10,1.031121
15.0,15,1.040453
8.0,8,1.04547
10.0,10,1.051807
48.0,48,1.081414
13.0,13,1.0902
10.0,10,1.09676
10.0,10,1.103236
12.0,12,1.110922
10.0,10,1.117287
9.0,9,1.123038
10.0,10,1.129727
15.0,15,1.139634
13.0,13,1.147934
23.0,23,1.162406
25.0,25,1.178078
9.0,9,1.183898
10.0,10,1.190219
10.0,10,1.196747
9.0,9,1.20258
10.0,10,1.208947
9.0,9,1.214737
13.0,13,1.223044
10.0,10,1.229402
11.0,11,1.236534
8.0,8,1.241706
10.0,10,1.248254
10.0,10,1.254744
9.0,9,1.260569
9.0,9,1.266446
9.0,9,1.272235
11.0,11,1.27929
9.0,9,1.2851
13.0,13,1.293353
139.0,139,1.539489
12.0,12,1.558423
26.0,26,1.599245
10.0,10,1.615086
10.0,10,1.630798
11.0,11,1.648352
36.0,36,1.704943
18.0,18,1.733373
8.0,8,1.746087
14.0,14,1.767863
9.0,9,1.781896
11.0,11,1.79922
10.0,10,1.814803
8.0,8,1.827454
12.0,12,1.846405
12.0,12,1.865351
10.0,10,1.881047
70.0,70,1.994265
15.0,15,2.018963
17.0,17,2.047276
11.0,11,2.06526
10.0,10,2.081262
9.0,9,2.095854
11.0,11,2.114144
10.0,10,2.129997
17.0,17,2.157241
12.0,12,2.176298
66.0,66,2.281215
12.0,12,2.30027
141.0,141,2.523904
12.0,12,2.542914
8.0,8,2.555637
9.0,9,2.569963
11.0,11,2.587437
11.0,11,2.604965
11.0,11,2.622818
24.0,24,2.660855
11.0,11,2.678301
8.0,8,2.690841
14.0,14,2.712914
10.0,10,2.728853
19.0,19,2.759052
15.0,15,2.783282
11.0,11,2.800934
10.0,10,2.816895
10.0,10,2.832902
10.0,10,2.848892
9.0,9,2.863211
12.0,12,2.882275
10.0,10,2.898235
12.0,12,2.917241
12.0,12,2.936514
12.0,12,2.955291
11.0,11,2.972657
12.0,12,2.991555
9.0,9,3.005689
10.0,10,3.021528
8.0,8,3.034117
10.0,10,3.050094
10.0,10,3.065885
9.0,9,3.08036
11.0,11,3.097726
12.0,12,3.116894
13.0,13,3.139556
22.0,22,3.174583
11.0,11,3.192206
10.0,10,3.209048
8.0,8,3.222316
8.0,8,3.235722
9.0,9,3.25057
12.0,12,3.270215
17.0,17,3.299572
19.0,19,3.330483
11.0,11,3.348571
13.0,13,3.370064
12.0,12,3.38917
9.0,9,3.404508
11.0,11,3.422546
12.0,12,3.441972
9.0,9,3.456564
9.0,9,3.471138
16.0,16,3.496864
10.0,10,3.513108
9.0,9,3.527689
10.0,10,3.543957
10.0,10,3.560041
11.0,11,3.577755
10.0,10,3.593805
11.0,11,3.61158
8.0,8,3.624497
21.0,21,3.658134
10.0,10,3.67411
8.0,8,3.687008
10.0,10,3.703038
10.0,10,3.719056
9.0,9,3.733466
10.0,10,3.749751
8.0,8,3.762668
10.0,10,3.778792
12.0,12,3.798191
10.0,10,3.814039
17.0,17,3.841516
9.0,9,3.856346
10.0,10,3.872534
9.0,9,3.887038
11.0,11,3.90477
12.0,12,3.924163
10.0,10,3.940623
20.0,20,3.973233
9.0,9,3.988783
12.0,12,4.008655
10.0,10,4.025467
9.0,9,4.040087
22.0,22,4.075136
9.0,9,4.08935
18.0,18,4.118094
10.0,10,4.133901
10.0,10,4.150757
11.0,11,4.168668
11.0,11,4.186535
11.0,11,4.20452
11.0,11,4.222252
35.0,35,4.279258
12.0,12,4.298525
10.0,10,4.31478
11.0,11,4.332811
12.0,12,4.352243
10.0,10,4.368345
9.0,9,4.382977
11.0,11,4.400754
10.0,10,4.417125
17.0,17,4.444675
17.0,17,4.471905
10.0,10,4.488048
96.0,96,4.641402
11.0,11,4.659235
10.0,10,4.676411
487.0,487,5.455015
219.0,219,5.806613
30.0,30,5.854428
10.0,10,5.87052
119.0,119,6.061189
21.0,21,6.095006
73.0,73,6.212376
21.0,21,6.245915
187.0,187,6.546073
10.0,10,6.562379
13.0,13,6.583491
140.0,140,6.809752
11.0,11,6.827316
500.0,500,7.628197
70.0,70,7.74101
62.0,62,7.840683
83.0,83,7.974802
173.0,173,8.248671
259.0,259,8.655855
90.0,90,8.797161
90.0,90,8.945608
145.0,145,9.190885
12.0,12,9.211304
18.0,18,9.241771
103.0,103,9.416771
112.0,112,9.606404
58.0,58,9.704203
98.0,98,9.869892
146.0,146,10.116906
306.0,306,10.636189
82.0,82,10.774681
131.0,131,10.991964
96.0,96,11.145825
235.0,235,11.520767
150.0,150,11.760717
129.0,129,11.969346
169.0,169,12.241415
171.0,171,12.515443
157.0,157,12.767179
64.0,64,12.869763
120.0,120,13.062312
118.0,118,13.251733
115.0,115,13.435175
135.0,135,13.650637
134.0,134,13.86366
263.0,263,14.285584
154.0,154,14.533408
149.0,149,14.773427
136.0,136,14.993816
143.0,143,15.224342
158.0,158,15.481897
154.0,154,15.733844
140.0,140,15.963287
127.0,127,16.170576
252.0,252,16.578136
115.0,115,16.763882
116.0,116,16.950436
184.0,184,17.247269
257.0,257,17.656534
88.0,88,17.796683
16.0,16,17.822419
123.0,123,18.018266
129.0,129,18.224138
150.0,150,18.46491
204.0,204,18.791845
120.0,120,18.98412
139.0,139,19.205168
57.0,57,19.294063
195.0,195,19.602627
251.0,251,20.000455
258.0,258,20.419694
193.0,193,20.731489
56.0,56,20.822352
42.0,42,20.890584
132.0,132,21.104495
53.0,53,21.189791
159.0,159,21.44485
180.0,180,21.731207
104.0,104,21.896543
155.0,155,22.146063
60.0,60,22.243991
151.0,151,22.487345
118.0,118,22.678646
178.0,178,22.963963
162.0,162,23.217636
22.0,22,23.252527
120.0,120,23.440765
95.0,95,23.591965
78.0,78,23.714337
63.0,63,23.813383
184.0,184,24.105005
108.0,108,24.27654
55.0,55,24.364126
120.0,120,24.555353
77.0,77,24.677287
190.0,190,24.977925
146.0,146,25.207402
113.0,113,25.385565
54.0,54,25.4708
118.0,118,25.656151
112.0,112,25.832385
57.0,57,25.921689
52.0,52,26.003843
65.0,65,26.107525
166.0,166,26.369404
133.0,133,26.57899
122.0,122,26.771173
133.0,133,26.979852
128.0,128,27.181507
69.0,69,27.290287
267.0,267,27.711275
135.0,135,27.924652
230.0,230,28.286525
35.0,35,28.341732
37.0,37,28.399776
78.0,78,28.521937
191.0,191,28.823443
41.0,41,28.887868
111.0,111,29.062688
89.0,89,29.201711
217.0,217,29.542547
142.0,142,29.765679
43.0,43,29.833146
90.0,90,29.975398
40.0,40,30.038687
97.0,97,30.191395
105.0,105,30.356153
51.0,51,30.436424
190.0,190,30.735762
39.0,39,30.797147
143.0,143,31.022063
98.0,98,31.178235
31.0,31,31.227004
18.0,18,31.255554
23.0,23,31.291527
68.0,68,31.398824
93.0,93,31.545071
163.0,163,31.801069
93.0,93,31.947024
239.0,239,32.323415
23.0,23,32.359591
